segment,name,start_time,boundary_prominence,onset
20,Woman fires warning shot in the air,3.56.8,1.0,237
21,Magician stops man and shows him a trick,4.17.4,2.0,257
22,Woman tries to open trunk of car,4.40.2,2.0,280
23,Younger man drops ice cream and eyes roll back,4.50.6,1.0,291
24,Younger man faints and falls on ground sideways,5.4.3,1.0,304
25,Man lays on ground and kicks,5.15.6,2.0,316
26,Magician realizes his mistake and looks at paper,5.23.8,3.0,324
27,Woman approaches and shoots magician,5.29.5,1.0,330
28,Magician shoots woman from the ground,5.40.7,1.0,341
29,Man licks ice cream from ground on all fours,5.47.3,1.0,347
30,Another woman barks at the man on all fours,6.16.6,1.0,377
31,The two play like dogs together ,6.24.9,2.0,385
32,The two walk past the car into the distance,6.50.4,2.0,410
1,Sun,0.7.9,1.0,8
2,A man standing,0.15.9,1.0,16
3,A car stops,0.33.6,1.0,34
4,The woman frantically dials,0.42.8,1.0,43
5,The woman approaches the man,0.56.9,1.0,57
6,The woman calls ,1.23.6,2.0,84
7,The woman mad,1.40.9,2.0,101
8,The woman breaks his phone,1.49.6,1.0,110
9,The woman cries,1.54.1,1.0,114
10,Man demands money,1.56.9,2.0,117
11,The magician drives to the scene,2.11.9,1.0,132
12,Woman approaches the car,2.25.2,1.0,145
13,The magician in the car,2.48.2,1.0,168
14,"""Where is she?""",3.8.5,2.0,188
15,The magician aggressively approaches the man,3.17.0,2.0,197
16,The woman pulls out a gun,3.40.8,1.0,221
17,The man jokingly pull out a gun as well,3.48.0,1.0,228
18,The woman shoot in the sky,3.56.5,1.0,236
19,A cry is heard from the car,3.59.6,2.0,240
20,The magician stops the man,4.14.3,1.0,254
21,The magician starts his spell,4.26.3,1.0,266
22,The man starts to fall,5.2.4,2.0,302
23,The man moves like a worm,5.15.6,1.0,316
24,The magician is confused,5.21.1,1.0,321
25,The woman shoots the magician,5.38.4,1.0,338
26,The magician stoots the woman,5.41.1,1.0,341
27,The man licks the ice cream on the floor,5.47.1,1.0,347
28,Another sound of a dog,5.48.4,3.0,348
29,"""Woman dog"" appears",6.17.2,1.0,377
30,The two smells each other ,6.24.7,2.0,385
31,The two leaves the scene,6.37.5,1.0,398
1,Introducing man in red,0.15.9,1.0,16
2,Woman(Cheval) in black van peels in,0.31.6,1.0,32
3,Woman tries to use payphone,0.42.6,1.0,43
4,Woman goes to man for phone,1.02.4,1.0,62
5,Woman calls someone,1.27.4,1.0,87
6,Woman smashes phone,1.49.4,2.0,109
7,Magician(Bob) drives in,2.11.9,1.0,132
8,Woman confronts magician,2.58.2,1.0,178
9,Magician notices man in red,3.12.4,3.0,192
10,Man in red recognizes magician and woman,3.37.2,2.0,217
11,Woman pulls a gun,3.40.7,1.0,221
12,Magician pulls a gun,3.48.0,1.0,228
13,Woman fires into the air,3.56.5,2.0,236
14,Woman hears somone in magician's car,4.02.5,1.0,242
15,Woman runs to the car,4.10.3,1.0,250
16,Magician starts casting a spell on man in red,4.21.1,1.0,261
17,Woman opens trunk of magician's car,4.43.0,1.0,283
18,Man in red falls to the ground,5.04.3,2.0,304
19,Man in red starts barking,5.15.8,1.0,316
20,Woman shoots magician,5.37.9,1.0,338
21,Magician shoots woman,5.42.1,1.0,342
22,Man in red crawls away barking,6.08.0,3.0,368
23,Man in red encounters barking girl,6.17.1,1.0,377
24,Man in red and girls crawl away together,6.48.2,1.0,408
1,title card,0.00.0,1.0,0
2,bus stop set-up,0.07.8,1.0,8
3,lady arrives,0.33.0,2.0,33
4,lady asks to borrow phone,0.59.8,2.0,60
5,lady borrows phone,1.19.1,2.0,79
6,lady smashes phone,1.49.3,2.0,109
7,man asks for money back,1.56.4,2.0,116
8,magician arrives,2.10.9,1.0,131
9,confrontation,2.55.4,2.0,175
10,guns out,3.40.8,1.0,221
11,magician gun monologue,3.48.3,3.0,228
12,stand off,3.56.8,2.0,237
13,"""dog"" wimpers",4.03.8,3.0,244
14,satanic ritual,4.16.8,2.0,257
15,collapsed state,5.15.6,2.0,316
16,final shootoff,5.28.9,1.0,329
17,"""dog"" time",5.43.9,2.0,344
18,"meets other ""dog""",6.13.9,1.0,374
19,fight,6.32.9,3.0,393
20,walk off,6.47.8,3.0,408
1,Beginning of the movie,0.04.4,1.0,4
2,A man is standing at the bus stop,0.16.1,1.0,16
3,"A car arrives, driving very fast ",0.31.6,1.0,32
4,A woman gets out of the car,0.37.2,2.0,37
5,She tries to use the payphone,0.41.6,2.0,42
6,The woman walks towards man ,0.59.9,1.0,60
7,She asks to borrow his phone ,1.11.6,2.0,72
8,"The guy is sweating, hard",1.12.4,3.0,72
9,He hands her the phone,1.19.4,2.0,79
10,The woman walks away to make the call ,1.20.4,2.0,80
11,She threatens to go to the police ,1.41.9,1.0,102
12,She throws the phone on the ground,1.49.7,1.0,110
13,The man asks for money to replace his broken phone,2.01.2,1.0,121
14,Magician arrives ,2.11.9,1.0,132
15,The woman confronts the magician ,3.02.4,2.0,182
16,The magician confronts the man,3.19.9,1.0,200
17,The man recognizes the magician ,3.34.9,3.0,215
18,The assistant pulls out a gun ,3.41.0,1.0,221
19,The magician pulls out a gun too,3.47.5,1.0,228
20,The assistant shoots into the air ,3.56.5,2.0,236
21,Howls are heard from the trunk of the magician's car,4.04.8,1.0,245
22,The assistant goes towards the car,4.10.0,2.0,250
23,The magician stops the man from leaving ,4.15.8,1.0,256
24,The magician shows the man a small coffin and begins a spell,4.26.0,1.0,266
25,The woman opens the trunk,4.42.6,2.0,283
26,The man falls under the magician's spell,4.53.5,1.0,294
27,The woman shoots the magician,5.38.0,1.0,338
28,"The magician shoots back at the assistant, then dies ",5.43.1,1.0,343
29,The man starts acting like a dog,5.49.6,1.0,350
30,The man meets the girl dog who has escaped from the trunk ,6.17.5,1.0,378
31,They leave together ,6.49.8,2.0,410
1,Start of movie,0.0.0,1.0,0
2,Main waits at bus stop in abandoned town,0.15.6,2.0,16
3,Woman in car schreeches to a halt and tries to use the phone,0.31.8,1.0,32
4,Woman walks over to man and asks to use his phone,1.00.8,3.0,61
5,Woman paces and has strange conversation,1.26.2,2.0,86
6,Woman smashes man's phone in anger,1.49.4,1.0,109
7,Man asks for money to pay for phone,1.56.2,3.0,116
8,New man drives up and looks at woman,2.12.1,1.0,132
9,Woman and man approach car,2.33.1,2.0,153
10,The new man and woman start to argue,3.00.2,2.0,180
11,Man tries to explain that he does not know the woman,3.16.2,3.0,196
12,Man realizes the second man is a famous magician,3.34.1,3.0,214
13,Woman and second man both pull guns,3.40.6,1.0,221
14,Woman hears crying in the car,3.58.7,2.0,239
15,Magician shows man a trick while woman tries to open car,4.20.0,2.0,260
16,Man starts to feel woozy,4.33.0,3.0,273
17,Man passes out ,5.09.6,1.0,310
18,Man starts to act like dog,5.15.5,2.0,316
19,Woman shoots magician,5.38.0,1.0,338
20,Magician shoots woman,5.41.0,1.0,341
21,Another woman appears acting like dog,6.16.5,1.0,376
22,"Two ""dogs"" walk away ",6.36.6,3.0,397
