ID,OriginalID,Timestamp,Trial,counterbalance,phase_type,description_stop,paired_vid,onset,offset,description_content,importance,time,tag,vidpath,Datastring,data_set
Drun2M02_093,debug2rruG:debugptJiw,1701962228548,21,5,test,4,8,330.0,360,"Frank is apprehended in the prison after trying to escape. He lies on his back and seems defeated and says let's go gome to Carl, seemingly back to the US. We then cut abruptly to some kind of recogition ceremony, which looks like a scene from much earlier in Frank's life.",3,101783,test_seg8_desc,/static/video/F/filmfest_clip2_F_7.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip2_F_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""360"", ""content"": ""Frank is apprehended in the prison after trying to escape. He lies on his back and seems defeated and says let's go gome to Carl, seemingly back to the US. We then cut abruptly to some kind of recogition ceremony, which looks like a scene from much earlier in Frank's life."", ""importance"": ""3"", ""time"": 101783, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M02_093,debug2rruG:debugptJiw,1701962409181,24,5,test,5,10,420.0,450,Frank's father receives an award or accolade from the ceremony and thanks the dignitaties and his son. He then tells a story about two mice in a bucket of cream.,1,57249,test_seg10_desc,/static/video/F/filmfest_clip2_F_9.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip2_F_9.mp4"", ""descstop"": 5, ""vidpair"": 10, ""offset"": ""450"", ""content"": ""Frank's father receives an award or accolade from the ceremony and thanks the dignitaties and his son. He then tells a story about two mice in a bucket of cream."", ""importance"": ""1"", ""time"": 57249, ""tag"": ""test_seg10_desc""}",2023-2024 Run
Drun2M02_093,debug2rruG:debugptJiw,1701962545688,27,5,test,6,12,510.0,540,Frank's father tells a touching story of winning his mother and talking of her beauty in the Christmas family home.,1,40949,test_seg12_desc,/static/video/F/filmfest_clip2_F_11.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip2_F_11.mp4"", ""descstop"": 6, ""vidpair"": 12, ""offset"": ""540"", ""content"": ""Frank's father tells a touching story of winning his mother and talking of her beauty in the Christmas family home."", ""importance"": ""1"", ""time"": 40949, ""tag"": ""test_seg12_desc""}",2023-2024 Run
Drun2M02_093,debug2rruG:debugptJiw,1701962721544,30,5,test,7,14,600.0,630,Frank is taken by his father abruptly and unexpectedly to a clothing store because he needs a black suit. The store is closed and a storekeeper is told they need a suit at short notice due to a death in the family.,2,69835,test_seg14_desc,/static/video/F/filmfest_clip2_F_13.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip2_F_13.mp4"", ""descstop"": 7, ""vidpair"": 14, ""offset"": ""630"", ""content"": ""Frank is taken by his father abruptly and unexpectedly to a clothing store because he needs a black suit. The store is closed and a storekeeper is told they need a suit at short notice due to a death in the family."", ""importance"": ""2"", ""time"": 69835, ""tag"": ""test_seg14_desc""}",2023-2024 Run
Drun2M02_531,debugEUk1q:debugLIMxa,1701961748497,12,4,test,1,2,50.0,80,"The narrator was telling the audience about the fact that Abagnale stole 4 million dollars. He had cheques bounce in 26 international locations. His cheques span across all 50 States, making Abagnale the largest fraudster in the world. The contestants then sat down at their rightful places marked 1, 2 and 3.",7,106777,test_seg2_desc,/static/video/E/filmfest_clip2_E_1.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip2_E_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""80"", ""content"": ""The narrator was telling the audience about the fact that Abagnale stole 4 million dollars. He had cheques bounce in 26 international locations. His cheques span across all 50 States, making Abagnale the largest fraudster in the world. The contestants then sat down at their rightful places marked 1, 2 and 3."", ""importance"": ""7"", ""time"": 106777, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M02_531,debugEUk1q:debugLIMxa,1701961894069,15,4,test,2,4,140.0,170,The agent was led inside to the door of the prison cell. The agent was instructed not to open the door or pass anything through the opening that the guard unblocked.,7,41404,test_seg4_desc,/static/video/E/filmfest_clip2_E_3.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip2_E_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""170"", ""content"": ""The agent was led inside to the door of the prison cell. The agent was instructed not to open the door or pass anything through the opening that the guard unblocked."", ""importance"": ""7"", ""time"": 41404, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M02_531,debugEUk1q:debugLIMxa,1701962069699,18,4,test,3,6,230.0,260,"Frank collapses in the prison cell. The agent kicks the chair and shouts to the guards to call a doctor. Then, the scene proceeds to guards and the agent escorting a fainted Frank into a medical ward.",7,70649,test_seg6_desc,/static/video/E/filmfest_clip2_E_5.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip2_E_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""260"", ""content"": ""Frank collapses in the prison cell. The agent kicks the chair and shouts to the guards to call a doctor. Then, the scene proceeds to guards and the agent escorting a fainted Frank into a medical ward."", ""importance"": ""7"", ""time"": 70649, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M02_531,debugEUk1q:debugLIMxa,1701962210836,21,4,test,4,8,320.0,350,The guards stop Frank's tentative escape at gunpoint. Frank tells the agent he agrees to proceed to go home.,7,34057,test_seg8_desc,/static/video/E/filmfest_clip2_E_7.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip2_E_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""350"", ""content"": ""The guards stop Frank's tentative escape at gunpoint. Frank tells the agent he agrees to proceed to go home."", ""importance"": ""7"", ""time"": 34057, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M02_531,debugEUk1q:debugLIMxa,1701962366557,24,4,test,5,10,410.0,440,Frank Sr. thanks the Chairman for the introduction. Then Frank Sr. proceeds to express his feeling honored by the presence of his wife and of Frank Jr. sitting front row.,7,50150,test_seg10_desc,/static/video/E/filmfest_clip2_E_9.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip2_E_9.mp4"", ""descstop"": 5, ""vidpair"": 10, ""offset"": ""440"", ""content"": ""Frank Sr. thanks the Chairman for the introduction. Then Frank Sr. proceeds to express his feeling honored by the presence of his wife and of Frank Jr. sitting front row."", ""importance"": ""7"", ""time"": 50150, ""tag"": ""test_seg10_desc""}",2023-2024 Run
Drun2M02_531,debugEUk1q:debugLIMxa,1701962520360,27,4,test,6,12,500.0,530,Frank Sr. tells Frank Jr. about his wife taking center stage and being the center of attention to a crowd of his fellow American soldiers holding their breath for her.,7,49288,test_seg12_desc,/static/video/E/filmfest_clip2_E_11.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip2_E_11.mp4"", ""descstop"": 6, ""vidpair"": 12, ""offset"": ""530"", ""content"": ""Frank Sr. tells Frank Jr. about his wife taking center stage and being the center of attention to a crowd of his fellow American soldiers holding their breath for her."", ""importance"": ""7"", ""time"": 49288, ""tag"": ""test_seg12_desc""}",2023-2024 Run
Drun2M02_531,debugEUk1q:debugLIMxa,1701962698880,30,4,test,7,14,590.0,620,Frank Sr. wakes Frank Jr. up and tells him to get ready to go into the city for something very important. They reach what appears to be the locked entrance to a store and initiate a conversation with a blonde woman who informs Frank Sr. that they will open in half an hour.,7,73262,test_seg14_desc,/static/video/E/filmfest_clip2_E_13.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip2_E_13.mp4"", ""descstop"": 7, ""vidpair"": 14, ""offset"": ""620"", ""content"": ""Frank Sr. wakes Frank Jr. up and tells him to get ready to go into the city for something very important. They reach what appears to be the locked entrance to a store and initiate a conversation with a blonde woman who informs Frank Sr. that they will open in half an hour."", ""importance"": ""7"", ""time"": 73262, ""tag"": ""test_seg14_desc""}",2023-2024 Run
Drun2M02_1409,debugc31kr:debugW15jP,1713887109868,12,1,test,1,2,20.0,50,Each of the \impostors\ states their name as Frank Abagnale in turn. Then the presenter starts narrating a declaration that they pretended to be an airline pilot and also a doctor.,5,83406,test_seg2_desc,/static/video/B/filmfest_clip2_B_1.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""50"", ""content"": ""Each of the \""impostors\"" states their name as Frank Abagnale in turn. Then the presenter starts narrating a declaration that they pretended to be an airline pilot and also a doctor."", ""importance"": ""5"", ""time"": 83406, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M02_1409,debugc31kr:debugW15jP,1713887265236,15,1,test,2,4,110.0,140,The man played by tom hanks claims he is from the FBI and is there to see frank abagnale. It then shows us that it is outside a prison in France on Christmas eve 1969. The guards are currently unlocking doors and leading him into the prison.,5,46926,test_seg4_desc,/static/video/B/filmfest_clip2_B_3.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""140"", ""content"": ""The man played by tom hanks claims he is from the FBI and is there to see frank abagnale. It then shows us that it is outside a prison in France on Christmas eve 1969. The guards are currently unlocking doors and leading him into the prison."", ""importance"": ""5"", ""time"": 46926, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M02_1409,debugc31kr:debugW15jP,1713887430916,18,1,test,3,6,200.0,230,"the man played by tom hanks starts rapidly reading off human rights legislation. Frank keeps coughing. The man who isn't frank tells him to stop, and says that he cannot be fooled, implying he thinks it's all a performance.",4,61455,test_seg6_desc,/static/video/B/filmfest_clip2_B_5.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""230"", ""content"": ""the man played by tom hanks starts rapidly reading off human rights legislation. Frank keeps coughing. The man who isn't frank tells him to stop, and says that he cannot be fooled, implying he thinks it's all a performance."", ""importance"": ""4"", ""time"": 61455, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M02_1409,debugc31kr:debugW15jP,1713887583683,21,1,test,4,8,290.0,320,"The fbi agent says \oh frank\, seemingly amused at his escape. We see frank running down a prison corridor while the other prisoners cheer. He is still coughing and falls to his knees. The agent and the guards start walking up behind him.",5,49724,test_seg8_desc,/static/video/B/filmfest_clip2_B_7.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""320"", ""content"": ""The fbi agent says \""oh frank\"", seemingly amused at his escape. We see frank running down a prison corridor while the other prisoners cheer. He is still coughing and falls to his knees. The agent and the guards start walking up behind him."", ""importance"": ""5"", ""time"": 49724, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M02_1409,debugc31kr:debugW15jP,1713887759556,24,1,test,5,10,380.0,410,"The man on stage calls frank abignale up, but the man played by Christopher walken, presumably the real, original frank, goes up on stage. While he goes up there is a caption that says this is 6 years earlier in new york. He has started a speech where he says he is humbled.",6,72397,test_seg10_desc,/static/video/B/filmfest_clip2_B_9.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_9.mp4"", ""descstop"": 5, ""vidpair"": 10, ""offset"": ""410"", ""content"": ""The man on stage calls frank abignale up, but the man played by Christopher walken, presumably the real, original frank, goes up on stage. While he goes up there is a caption that says this is 6 years earlier in new york. He has started a speech where he says he is humbled."", ""importance"": ""6"", ""time"": 72397, ""tag"": ""test_seg10_desc""}",2023-2024 Run
Drun2M02_1409,debugc31kr:debugW15jP,1713887934436,27,1,test,6,12,470.0,500,Both franks hug. Then it cut to what looks to be their home. Older frank is hanging up his certificate and then tells his wife to show their son the dance she did when they met. We see younger frank dancing with his mother and older frank starts a story where he mentions them being in France.,3,71429,test_seg12_desc,/static/video/B/filmfest_clip2_B_11.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_11.mp4"", ""descstop"": 6, ""vidpair"": 12, ""offset"": ""500"", ""content"": ""Both franks hug. Then it cut to what looks to be their home. Older frank is hanging up his certificate and then tells his wife to show their son the dance she did when they met. We see younger frank dancing with his mother and older frank starts a story where he mentions them being in France."", ""importance"": ""3"", ""time"": 71429, ""tag"": ""test_seg12_desc""}",2023-2024 Run
Drun2M02_1409,debugc31kr:debugW15jP,1713888096556,30,1,test,7,14,560.0,590,Young frank returns with a towel and milk and watches his parents dance from the doorway. They are dancing in the spilled wine making more of a mess. Older frank looks at his son in a sort of amused way as he tips his wife. Then it cuts to the current scene where older franking seems to be waking young frank in the middle of the night.,5,58717,test_seg14_desc,/static/video/B/filmfest_clip2_B_13.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_13.mp4"", ""descstop"": 7, ""vidpair"": 14, ""offset"": ""590"", ""content"": ""Young frank returns with a towel and milk and watches his parents dance from the doorway. They are dancing in the spilled wine making more of a mess. Older frank looks at his son in a sort of amused way as he tips his wife. Then it cuts to the current scene where older franking seems to be waking young frank in the middle of the night."", ""importance"": ""5"", ""time"": 58717, ""tag"": ""test_seg14_desc""}",2023-2024 Run
